"Source:","D:\V_meter_2\stend_e3\stend_main4_dummy\stend_main.kicad_sch"
"Date:","10/23/2021 11:44:15 AM"
"Tool:","Eeschema (5.99.0-12829-gf2783a86e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","356"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PIN1","PIN10","PIN2","PIN3","PIN4","PIN5","PIN6","PIN7","PIN8","PIN9","ValueAnalog","ValueC","ValueGOST","ValueGroup","ValueManufacturer","ValueName","ValueNote","ValueSupplier","ValueTU","ValueTemp_1","ValueTemp_2","ValueTemp_3","ValueTemp_4","ValueTemp_5","ValueTemperature","volume"
"","","BB1","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB2","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB3","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB4","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB5","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB6","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BB7","bread_16pins","my_Library:bread_16pins","my_Library_ftprint:breadboard_DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C1","K53-68-C-20V-10uF-10%","[LTM][Capacitors][K53-68][A_B_C_D_E][5]:K53-68-C-20V-10uF-10%","[LTM][FP][Capacitors]:[LTM][C][Tantalum][C][6032-28]","C:/Program Files/KiCad/share/LTM_DataSheet/Конденсаторы_танталовые_К53-68_ОАО_Элеконд.pdf","","","","","","","","","","","SMD-TAN-C-10uF±10%","10000000","К53-68-C-20 В-10 мкФ ±10%","Конденсаторы","ф. ОАО ""Элеконд""","10 мкФ","-","ЗАО ""Спец-электронкомплект""","АЖЯР.673546.007 ТУ","АЖЯР.673546.007 ТУ","-","-","-","-","от минус 60 ⁰C до + 125 ⁰C",""
"","","CP1","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP2","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP3","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
